sample_id	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	sacrifice_batch	RNA_extraction_batch	filename	instrument	run	flow_cell	lane
39	psilo.high.24h.F.39	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	39	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	2	5	Psi1_A39_High_Female	A00938	580	HTWCMDSX7	3
40	psilo.high.24h.F.40	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	40	8 weeks	18 grams	9.6	C57BL/6	NA	Psil1	2	5	Psi1_A40_High_Female	A00938	580	HTWCMDSX7	3
41	psilo.low.24h.M.41	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	41	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	5	Psi1_A41_Low_Male	A00938	580	HTWCMDSX7	3
42	psilo.low.24h.M.42	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	42	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	5	Psi1_A42_Low_Male	A00938	580	HTWCMDSX7	3
43	psilo.low.24h.M.43	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	43	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	5	Psi1_A43_Low_Male	A00938	580	HTWCMDSX7	3
44	psilo.low.24h.M.44	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	44	8 weeks	26 grams	9.8	C57BL/6	NA	Psil1	2	5	Psi1_A44_Low_Male	A00938	580	HTWCMDSX7	3
45	psilo.low.24h.M.45	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	45	8 weeks	26 grams	9.9	C57BL/6	NA	Psil1	2	5	Psi1_A45_Low_Male	A00938	580	HTWCMDSX7	3
46	psilo.low.24h.F.46	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	46	8 weeks	18 grams	8.1	C57BL/6	NA	Psil1	2	5	Psi1_A46_Low_Female	A00938	580	HTWCMDSX7	4
47	psilo.low.24h.F.47	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	47	8 weeks	18 grams	9.5	C57BL/6	NA	Psil1	2	5	Psi1_A47_Low_Female	A00938	580	HTWCMDSX7	4
48	psilo.low.24h.F.48	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	48	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	2	5	Psi1_A48_Low_Female	A00938	580	HTWCMDSX7	4
49	psilo.low.24h.F.49	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	49	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	2	5	Psi1_A49_Low_Female	A00938	580	HTWCMDSX7	4
50	psilo.low.24h.F.50	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	50	8 weeks	18 grams	9.2	C57BL/6	NA	Psil1	2	5	Psi1_A50_Low_Female	A00938	580	HTWCMDSX7	4
51	sal.24h.M.51	sal.24h	saline	0.9%	24 hour	M	51	8 weeks	26 grams	9.4	C57BL/6	NA	Psil1	2	4	Psi1_A51_NS_Male	A00938	580	HTWCMDSX7	4
52	sal.24h.M.52	sal.24h	saline	0.9%	24 hour	M	52	8 weeks	26 grams	9.3	C57BL/6	NA	Psil1	2	4	Psi1_A52_NS_Male	A00938	580	HTWCMDSX7	4
