sample_name	organism	strain	age	collection_date	geo_loc_name	tissue	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	sacrifice_batch	RNA_extraction_batch
psilo.low.7d.M.73	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	73	8 weeks	26 grams	9.1	3	3
psilo.low.7d.M.74	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	74	8 weeks	26 grams	9.4	3	3
psilo.low.7d.M.75	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	75	8 weeks	26 grams	9.4	3	3
psilo.low.7d.F.76	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	76	8 weeks	18 grams	9.3	3	3
psilo.low.7d.F.77	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	77	8 weeks	18 grams	9.4	3	2
psilo.low.7d.F.78	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	78	8 weeks	18 grams	7	3	2
psilo.low.7d.F.79	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	79	8 weeks	18 grams	9.3	3	2
psilo.low.7d.F.80	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	F	80	8 weeks	18 grams	9.6	3	2
sal.7d.M.81	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	M	81	8 weeks	26 grams	9.4	3	1
sal.7d.M.82	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	M	82	8 weeks	26 grams	9.3	3	2
sal.7d.M.83	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	M	83	8 weeks	26 grams	9.1	3	2
sal.7d.M.84	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	M	84	8 weeks	26 grams	9.4	3	2
sal.7d.M.85	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	M	85	8 weeks	26 grams	9.4	3	2
sal.7d.F.86	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	F	86	8 weeks	18 grams	9.4	3	1
sal.7d.F.87	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	F	87	8 weeks	18 grams	9.3	3	3
sal.7d.F.88	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	F	88	8 weeks	18 grams	9.3	3	3
sal.7d.F.89	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	F	89	8 weeks	18 grams	9.2	3	3
sal.7d.F.90	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.7d	saline	0.9%	7 day	F	90	8 weeks	18 grams	9.1	3	3
