sample_id	group	group2	treatment	dose	timepoint	sex	animal_id	RNA_extraction_batch	sacrifice_batch	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	filename
58	S.24h.F.58	S.24h	S.24h.F	saline	0.90%	24 hour	F	58	4	2	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A58_NS_Female
59	S.24h.F.59	S.24h	S.24h.F	saline	0.90%	24 hour	F	59	4	2	8 weeks	18 grams	9.5	C57BL/6		Psi1	Psi1_A59_NS_Female
60	S.24h.F.60	S.24h	S.24h.F	saline	0.90%	24 hour	F	60	4	2	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A60_NS_Female
61	H.7d.M.61	H.7d	H.7d.M	psilocybin	1 mg / kg	7 day	M	61	4	3	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A61_High_Male
62	H.7d.M.62	H.7d	H.7d.M	psilocybin	1 mg / kg	7 day	M	62	4	3	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A62_High_Male
63	H.7d.M.63	H.7d	H.7d.M	psilocybin	1 mg / kg	7 day	M	63	4	3	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A63_High_Male
64	H.7d.M.64	H.7d	H.7d.M	psilocybin	1 mg / kg	7 day	M	64	4	3	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A64_High_Male
65	H.7d.M.65	H.7d	H.7d.M	psilocybin	1 mg / kg	7 day	M	65	4	3	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A65_High_Male
66	H.7d.F.66	H.7d	H.7d.F	psilocybin	1 mg / kg	7 day	F	66	3	3	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A66_High_Female
67	H.7d.F.67	H.7d	H.7d.F	psilocybin	1 mg / kg	7 day	F	67	3	3	8 weeks	18 grams	9.5	C57BL/6		Psi1	Psi1_A67_High_Female
68	H.7d.F.68	H.7d	H.7d.F	psilocybin	1 mg / kg	7 day	F	68	3	3	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A68_High_Female
69	H.7d.F.69	H.7d	H.7d.F	psilocybin	1 mg / kg	7 day	F	69	3	3	8 weeks	18 grams	9.5	C57BL/6		Psi1	Psi1_A69_High_Female
70	H.7d.F.70	H.7d	H.7d.F	psilocybin	1 mg / kg	7 day	F	70	3	3	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A70_High_Female
71	L.7d.M.71	L.7d	L.7d.M	psilocybin	0.25 mg / kg	7 day	M	71	3	3	8 weeks	26 grams	9.1	C57BL/6		Psi1	Psi1_A71_Low_Male
72	L.7d.M.72	L.7d	L.7d.M	psilocybin	0.25 mg / kg	7 day	M	72	3	3	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A72_Low_Male
73	L.7d.M.73	L.7d	L.7d.M	psilocybin	0.25 mg / kg	7 day	M	73	3	3	8 weeks	26 grams	9.1	C57BL/6		Psi1	Psi1_A73_Low_Male
74	L.7d.M.74	L.7d	L.7d.M	psilocybin	0.25 mg / kg	7 day	M	74	3	3	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A74_Low_Male
75	L.7d.M.75	L.7d	L.7d.M	psilocybin	0.25 mg / kg	7 day	M	75	3	3	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A75_Low_Male
76	L.7d.F.76	L.7d	L.7d.F	psilocybin	0.25 mg / kg	7 day	F	76	3	3	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A76_Low_Female
77	L.7d.F.77	L.7d	L.7d.F	psilocybin	0.25 mg / kg	7 day	F	77	2	3	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A77_Low_Female
78	L.7d.F.78	L.7d	L.7d.F	psilocybin	0.25 mg / kg	7 day	F	78	2	3	8 weeks	18 grams	7	C57BL/6		Psi1	Psi1_A78_Low_Female
79	L.7d.F.79	L.7d	L.7d.F	psilocybin	0.25 mg / kg	7 day	F	79	2	3	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A79_Low_Female
80	L.7d.F.80	L.7d	L.7d.F	psilocybin	0.25 mg / kg	7 day	F	80	2	3	8 weeks	18 grams	9.6	C57BL/6		Psi1	Psi1_A80_Low_Female
81	S.7d.M.81	S.7d	S.7d.M	saline	0.90%	7 day	M	81	1	3	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A81_NS_Male
82	S.7d.M.82	S.7d	S.7d.M	saline	0.90%	7 day	M	82	2	3	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A82_NS_Male
83	S.7d.M.83	S.7d	S.7d.M	saline	0.90%	7 day	M	83	2	3	8 weeks	26 grams	9.1	C57BL/6		Psi1	Psi1_A83_NS_Male
84	S.7d.M.84	S.7d	S.7d.M	saline	0.90%	7 day	M	84	2	3	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A84_NS_Male
85	S.7d.M.85	S.7d	S.7d.M	saline	0.90%	7 day	M	85	2	3	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A85_NS_Male
86	S.7d.F.86	S.7d	S.7d.F	saline	0.90%	7 day	F	86	1	3	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A86_NS_Female
87	S.7d.F.87	S.7d	S.7d.F	saline	0.90%	7 day	F	87	3	3	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A87_NS_Female
88	S.7d.F.88	S.7d	S.7d.F	saline	0.90%	7 day	F	88	3	3	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A88_NS_Female
89	S.7d.F.89	S.7d	S.7d.F	saline	0.90%	7 day	F	89	3	3	8 weeks	18 grams	9.2	C57BL/6		Psi1	Psi1_A89_NS_Female
90	S.7d.F.90	S.7d	S.7d.F	saline	0.90%	7 day	F	90	3	3	8 weeks	18 grams	9.1	C57BL/6		Psi1	Psi1_A90_NS_Female
